12345,NOMBRE_1,PRIMER_AP_1,SEGUNDO_AP_1,LIC001,F
23456,NOMBRE_2,PRIMER_AP_2,SEGUNDO_AP_2,LIC002,M
34567,NOMBRE_3,PRIMER_AP_3,SEGUNDO_AP_3,LIC005,F
45678,NOMBRE_4,PRIMER_AP_4,SEGUNDO_AP_4,LIC001,F
56789,NOMBRE_5,PRIMER_AP_5,SEGUNDO_AP_5,LIC003,M
67890,NOMBRE_6,PRIMER_AP_6,SEGUNDO_AP_6,LIC002,F
78901,NOMBRE_7,PRIMER_AP_7,SEGUNDO_AP_7,LIC003,M
89012,NOMBRE_8,PRIMER_AP_8,SEGUNDO_AP_8,LIC003,M
98765,NOMBRE_9,PRIMER_AP_9,SEGUNDO_AP_9,LIC005,F
87654,NOMBRE_10,PRIMER_AP_10,SEGUNDO_AP_10,LIC002,F
76543,NOMBRE_11,PRIMER_AP_11,SEGUNDO_AP_11,LIC003,F
65432,NOMBRE_12,PRIMER_AP_12,SEGUNDO_AP_12,LIC002,M
54321,NOMBRE_13,PRIMER_AP_13,SEGUNDO_AP_13,LIC004,M
43210,NOMBRE_14,PRIMER_AP_14,SEGUNDO_AP_14,LIC004,F
32101,NOMBRE_15,PRIMER_AP_15,SEGUNDO_AP_15,LIC005,M
21012,NOMBRE_16,PRIMER_AP_16,SEGUNDO_AP_16,LIC004,F
10123,NOMBRE_17,PRIMER_AP_17,SEGUNDO_AP_17,LIC002,M
